java -classpath ..\..\emma-2.0.5312\out\emma.jar emmarun -f -r arff -sp mozilla\js\rhino\src -Dreport.out.file mozilla\js\tests\ecma\Expressions\11.10-2.interpreted.arff -classpath mozilla\js\rhino\build\classes org.mozilla.javascript.tools.shell.Main -opt -1 -f mozilla\js\tests\shell.js -f mozilla\js\tests\ecma\shell.js -f mozilla\js\tests\ecma\Expressions\shell.js -f mozilla\js\tests\ecma\Expressions\11.10-2.js  
EMMA: processing classpath ...
EMMA: [128 class(es) processed in 343 ms]
11.10-2 Binary Bitwise Operators:  |
31 | 34359869435 = 131071 PASSED!
31 | 34360000507 = 262143 PASSED!
31 | 34360262651 = 524287 PASSED!
31 | 34360786939 = 1048575 PASSED!
31 | 34361835515 = 2097151 PASSED!
31 | 34363932667 = 4194303 PASSED!
31 | 34368126971 = 8388607 PASSED!
31 | 34376515579 = 16777215 PASSED!
31 | 34393292795 = 33554431 PASSED!
31 | 34426847227 = 67108863 PASSED!
31 | 34493956091 = 134217727 PASSED!
31 | 34628173819 = 268435455 PASSED!
31 | 34896609275 = 536870911 PASSED!
31 | 35433480187 = 1073741823 PASSED!
31 | 36507222011 = 2147483647 PASSED!
31 | 38654705659 = -1 PASSED!
31 | 42949672955 = -1 PASSED!
63 | 42949672956 = -1 PASSED!
63 | 42949672958 = -1 PASSED!
63 | 42949672962 = 63 PASSED!
63 | 42949672970 = 63 PASSED!
63 | 42949672986 = 63 PASSED!
63 | 42949673018 = 63 PASSED!
63 | 42949673082 = 127 PASSED!
63 | 42949673210 = 255 PASSED!
63 | 42949673466 = 511 PASSED!
63 | 42949673978 = 1023 PASSED!
63 | 42949675002 = 2047 PASSED!
63 | 42949677050 = 4095 PASSED!
63 | 42949681146 = 8191 PASSED!
63 | 42949689338 = 16383 PASSED!
63 | 42949705722 = 32767 PASSED!
63 | 42949738490 = 65535 PASSED!
63 | 42949804026 = 131071 PASSED!
63 | 42949935098 = 262143 PASSED!
63 | 42950197242 = 524287 PASSED!
63 | 42950721530 = 1048575 PASSED!
63 | 42951770106 = 2097151 PASSED!
63 | 42953867258 = 4194303 PASSED!
63 | 42958061562 = 8388607 PASSED!
63 | 42966450170 = 16777215 PASSED!
63 | 42983227386 = 33554431 PASSED!
63 | 43016781818 = 67108863 PASSED!
63 | 43083890682 = 134217727 PASSED!
63 | 43218108410 = 268435455 PASSED!
63 | 43486543866 = 536870911 PASSED!
63 | 44023414778 = 1073741823 PASSED!
63 | 45097156602 = 2147483647 PASSED!
63 | 47244640250 = -1 PASSED!
63 | 51539607546 = -1 PASSED!
127 | 51539607547 = -1 PASSED!
127 | 51539607549 = -1 PASSED!
127 | 51539607553 = 127 PASSED!
127 | 51539607561 = 127 PASSED!
127 | 51539607577 = 127 PASSED!
127 | 51539607609 = 127 PASSED!
127 | 51539607673 = 127 PASSED!
127 | 51539607801 = 255 PASSED!
127 | 51539608057 = 511 PASSED!
127 | 51539608569 = 1023 PASSED!
127 | 51539609593 = 2047 PASSED!
127 | 51539611641 = 4095 PASSED!
127 | 51539615737 = 8191 PASSED!
127 | 51539623929 = 16383 PASSED!
127 | 51539640313 = 32767 PASSED!
127 | 51539673081 = 65535 PASSED!
127 | 51539738617 = 131071 PASSED!
127 | 51539869689 = 262143 PASSED!
127 | 51540131833 = 524287 PASSED!
127 | 51540656121 = 1048575 PASSED!
127 | 51541704697 = 2097151 PASSED!
127 | 51543801849 = 4194303 PASSED!
127 | 51547996153 = 8388607 PASSED!
127 | 51556384761 = 16777215 PASSED!
127 | 51573161977 = 33554431 PASSED!
127 | 51606716409 = 67108863 PASSED!
127 | 51673825273 = 134217727 PASSED!
127 | 51808043001 = 268435455 PASSED!
127 | 52076478457 = 536870911 PASSED!
127 | 52613349369 = 1073741823 PASSED!
127 | 53687091193 = 2147483647 PASSED!
127 | 55834574841 = -1 PASSED!
127 | 60129542137 = -1 PASSED!
255 | 60129542138 = -1 PASSED!
255 | 60129542140 = -1 PASSED!
255 | 60129542144 = 255 PASSED!
255 | 60129542152 = 255 PASSED!
255 | 60129542168 = 255 PASSED!
255 | 60129542200 = 255 PASSED!
255 | 60129542264 = 255 PASSED!
255 | 60129542392 = 255 PASSED!
255 | 60129542648 = 511 PASSED!
255 | 60129543160 = 1023 PASSED!
255 | 60129544184 = 2047 PASSED!
255 | 60129546232 = 4095 PASSED!
255 | 60129550328 = 8191 PASSED!
255 | 60129558520 = 16383 PASSED!
255 | 60129574904 = 32767 PASSED!
255 | 60129607672 = 65535 PASSED!
255 | 60129673208 = 131071 PASSED!
255 | 60129804280 = 262143 PASSED!
255 | 60130066424 = 524287 PASSED!
255 | 60130590712 = 1048575 PASSED!
255 | 60131639288 = 2097151 PASSED!
255 | 60133736440 = 4194303 PASSED!
