java -classpath ..\..\emma-2.0.5312\out\emma.jar emmarun -f -r arff -sp mozilla\js\rhino\src -Dreport.out.file mozilla\js\tests\ecma\String\15.5.4.5-4.interpreted.arff -classpath mozilla\js\rhino\build\classes org.mozilla.javascript.tools.shell.Main -opt -1 -f mozilla\js\tests\shell.js -f mozilla\js\tests\ecma\shell.js -f mozilla\js\tests\ecma\String\shell.js -f mozilla\js\tests\ecma\String\15.5.4.5-4.js  
EMMA: processing classpath ...
EMMA: [128 class(es) processed in 343 ms]
15.5.4.5-4 String.prototype.charCodeAt(pos)
(String.fromCharCode(90)).charCodeAt(0) = 90 PASSED!
(String.fromCharCode(91)).charCodeAt(0) = 91 PASSED!
(String.fromCharCode(92)).charCodeAt(0) = 92 PASSED!
(String.fromCharCode(93)).charCodeAt(0) = 93 PASSED!
(String.fromCharCode(94)).charCodeAt(0) = 94 PASSED!
(String.fromCharCode(95)).charCodeAt(0) = 95 PASSED!
(String.fromCharCode(96)).charCodeAt(0) = 96 PASSED!
(String.fromCharCode(97)).charCodeAt(0) = 97 PASSED!
(String.fromCharCode(98)).charCodeAt(0) = 98 PASSED!
(String.fromCharCode(99)).charCodeAt(0) = 99 PASSED!
(String.fromCharCode(100)).charCodeAt(0) = 100 PASSED!
(String.fromCharCode(101)).charCodeAt(0) = 101 PASSED!
(String.fromCharCode(102)).charCodeAt(0) = 102 PASSED!
(String.fromCharCode(103)).charCodeAt(0) = 103 PASSED!
(String.fromCharCode(104)).charCodeAt(0) = 104 PASSED!
(String.fromCharCode(105)).charCodeAt(0) = 105 PASSED!
(String.fromCharCode(106)).charCodeAt(0) = 106 PASSED!
(String.fromCharCode(107)).charCodeAt(0) = 107 PASSED!
(String.fromCharCode(108)).charCodeAt(0) = 108 PASSED!
(String.fromCharCode(109)).charCodeAt(0) = 109 PASSED!
(String.fromCharCode(110)).charCodeAt(0) = 110 PASSED!
(String.fromCharCode(111)).charCodeAt(0) = 111 PASSED!
(String.fromCharCode(112)).charCodeAt(0) = 112 PASSED!
(String.fromCharCode(113)).charCodeAt(0) = 113 PASSED!
(String.fromCharCode(114)).charCodeAt(0) = 114 PASSED!
(String.fromCharCode(115)).charCodeAt(0) = 115 PASSED!
(String.fromCharCode(116)).charCodeAt(0) = 116 PASSED!
(String.fromCharCode(117)).charCodeAt(0) = 117 PASSED!
(String.fromCharCode(118)).charCodeAt(0) = 118 PASSED!
(String.fromCharCode(119)).charCodeAt(0) = 119 PASSED!
(String.fromCharCode(120)).charCodeAt(0) = 120 PASSED!
(String.fromCharCode(121)).charCodeAt(0) = 121 PASSED!
(String.fromCharCode(122)).charCodeAt(0) = 122 PASSED!
(String.fromCharCode(123)).charCodeAt(0) = 123 PASSED!
(String.fromCharCode(124)).charCodeAt(0) = 124 PASSED!
(String.fromCharCode(125)).charCodeAt(0) = 125 PASSED!
(String.fromCharCode(126)).charCodeAt(0) = 126 PASSED!
(String.fromCharCode(127)).charCodeAt(0) = 127 PASSED!
(String.fromCharCode(128)).charCodeAt(0) = 128 PASSED!
(String.fromCharCode(129)).charCodeAt(0) = 129 PASSED!
(String.fromCharCode(130)).charCodeAt(0) = 130 PASSED!
(String.fromCharCode(131)).charCodeAt(0) = 131 PASSED!
(String.fromCharCode(132)).charCodeAt(0) = 132 PASSED!
(String.fromCharCode(133)).charCodeAt(0) = 133 PASSED!
(String.fromCharCode(134)).charCodeAt(0) = 134 PASSED!
(String.fromCharCode(135)).charCodeAt(0) = 135 PASSED!
(String.fromCharCode(136)).charCodeAt(0) = 136 PASSED!
(String.fromCharCode(137)).charCodeAt(0) = 137 PASSED!
(String.fromCharCode(138)).charCodeAt(0) = 138 PASSED!
(String.fromCharCode(139)).charCodeAt(0) = 139 PASSED!
(String.fromCharCode(140)).charCodeAt(0) = 140 PASSED!
(String.fromCharCode(141)).charCodeAt(0) = 141 PASSED!
(String.fromCharCode(142)).charCodeAt(0) = 142 PASSED!
